artist,id
David Sanborn,1126
Rilo Kiley,1127
Mary Chapin Carpenter,1128
Silkk The Shocker,1129
Bassnectar,1130
Ringo Starr,1131
Angel Olsen,1132
Imagine Dragons,1133
Modern English,1134
Dan Hill,1135
Down,1136
R5,1137
Roger Taylor,1138
INXS,1139
Drive-By Truckers,1140
Melissa Etheridge,1141
Beck,1142
Paul Williams,1143
Starsailor,1144
The Outfield,1145
Tracy Byrd,1146
Gangsta Boo,1147
Nellie McKay,1148
Ginuwine,1149
Caedmon's Call,1150
Roger Creager,1151
Jude Cole,1152
Howard Jones,1153
The Partridge Family,1154
Field Mob,1155
Immature,1156
Senses Fail,1157
Buckcherry,1158
Rebbie Jackson,1159
Wilson Pickett,1160
Deniece Williams,1161
Attila,1162
Heather Nova,1163
Bob Mould,1164
RL Grime,1165
Nature,1166
Sawyer Fredericks,1167
Cassadee Pope,1168
Jessica Simpson,1169
Iggy Pop,1170
Sully Erna,1171
Steve Perry,1172
MadeinTYO,1173
This Wild Life,1174
Eazy-E,1175
Supertramp,1176
Obie Trice,1177
Killarmy,1178
Gladys Knight,1179
James Morrison,1180
Tracey Thorn,1181
Billy Idol,1182
Jackyl,1183
Madina Lake,1184
Caravan,1185
The Bangles,1186
Team Sleep,1187
John Lennon,1188
Hinder,1189
Mott The Hoople,1190
Broken Bells,1191
Blind Melon,1192
Randy Travis,1193
Sonny James,1194
Wilco,1195
Randy Rogers Band,1196
For Today,1197
Lila McCann,1198
Whitesnake,1199
Devendra Banhart,1200
Method Man,1201
Snow Patrol,1202
Yo La Tengo,1203
"Weird Al" Yankovic,1204
Hothouse Flowers,1205
Anthony Hamilton,1206
Tag Team,1207
Jackie Evancho,1208
Ray Stevens,1209
Brooke Valentine,1210
Cut Copy,1211
Geddy Lee,1212
Warren Zevon,1213
Dido,1214
Badly Drawn Boy,1215
Evanescence,1216
Walter Egan,1217
Rufio,1218
Golden Earring,1219
Teyana Taylor,1220
Domo Genesis,1221
A Great Big World,1222
2 Chainz,1223
The Sundays,1224
